2026-07-26 14:56:32 | INFO     | src.extractor.raw_writer | raw_writer:write:20 | writing the file to /opt/airflow/project/data/raw/Patient/2026-07-26
2026-07-26 14:56:32 | INFO     | src.extractor.raw_writer | raw_writer:write:22 | writing /opt/airflow/project/data/raw/Patient/2026-07-26/page_00002.json
2026-07-26 14:56:32 | INFO     | src.extractor.raw_writer | raw_writer:write:25 | successfully written the file /opt/airflow/project/data/raw/Patient/2026-07-26/page_00002.json
2026-07-26 14:56:34 | INFO     | src.extractor.raw_writer | raw_writer:write:20 | writing the file to /opt/airflow/project/data/raw/Patient/2026-07-26
2026-07-26 14:56:34 | INFO     | src.extractor.raw_writer | raw_writer:write:22 | writing /opt/airflow/project/data/raw/Patient/2026-07-26/page_00003.json
2026-07-26 14:56:34 | INFO     | src.extractor.raw_writer | raw_writer:write:25 | successfully written the file /opt/airflow/project/data/raw/Patient/2026-07-26/page_00003.json
2026-07-26 14:56:34 | INFO     | src.extractor.raw_writer | raw_writer:write:20 | writing the file to /opt/airflow/project/data/raw/Patient/2026-07-26
2026-07-26 14:56:34 | INFO     | src.extractor.raw_writer | raw_writer:write:22 | writing /opt/airflow/project/data/raw/Patient/2026-07-26/page_00004.json
2026-07-26 14:56:34 | INFO     | src.extractor.raw_writer | raw_writer:write:25 | successfully written the file /opt/airflow/project/data/raw/Patient/2026-07-26/page_00004.json
2026-07-26 14:59:37 | INFO     | src.extractor.raw_writer | raw_writer:write:20 | writing the file to /opt/airflow/project/data/raw/Patient/2026-07-26
2026-07-26 14:59:37 | INFO     | src.extractor.raw_writer | raw_writer:write:22 | writing /opt/airflow/project/data/raw/Patient/2026-07-26/page_00005.json
2026-07-26 14:59:37 | INFO     | src.extractor.raw_writer | raw_writer:write:25 | successfully written the file /opt/airflow/project/data/raw/Patient/2026-07-26/page_00005.json
